1 1:1 2:0.0676651 3:0.87267 4:1 5:0 6:0.857143 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:1 13:0.484914 14:1 
0 1:1 2:0.29917 3:0.0198334 4:0.5 5:0.0769231 6:1 7:0.00566667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:0.271552 14:0 
0 1:-1e-100 2:0.108264 3:0.0297501 4:0.5 5:0.538462 6:0.428571 7:0.053 8:1 9:1 10:0.217391 11:1 12:0.5 13:0.150862 14:5e-05 
0 1:1 2:0.224107 3:0.0331218 4:0.5 5:0.923077 6:0.428571 7:0.0776667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.107759 14:0 
0 1:1 2:0.27066 3:0.0595002 4:0 5:0.538462 6:0.428571 7:0.1 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:0.00225 
1 1:1 2:0.269217 3:0.37029 4:0.5 5:0.769231 6:1 7:0.377667 8:1 9:1 10:0.26087 11:-1e-100 12:0.5 13:0.41056 14:0.00168 
1 1:1 2:0.221039 3:0.0396668 4:0.5 5:0.769231 6:0.428571 7:0.116667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.301724 14:0 
0 1:1 2:0.175929 3:0.125545 4:0 5:0.230769 6:0.428571 7:0.0276667 8:-1e-100 9:1 10:0.0434783 11:1 12:0.5 13:0.301724 14:0.0008 
0 1:1 2:0.226994 3:0.515668 4:0.5 5:0.692308 6:0.142857 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.150862 14:0.0111 
1 1:1 2:0.732227 3:0.267751 4:0.5 5:0.538462 6:1 7:0.175 8:1 9:1 10:0.478261 11:1 12:0.5 13:-1.07759e-103 14:0.00284 
0 1:1 2:0.321545 3:0.0148751 4:0.5 5:0.0769231 6:0.428571 7:0.0583333 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:1 14:0 
0 1:-1e-100 2:0.207506 3:0.495835 4:0.5 5:0.0769231 6:0.428571 7:0.0666667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.193966 14:0.01062 
1 1:1 2:0.350415 3:0.125545 4:0 5:1 6:0.428571 7:0.211 8:1 9:1 10:0.130435 11:1 12:0.5 13:0.409483 14:0 
0 1:1 2:0.464634 3:0.0644586 4:0.5 5:0.538462 6:0.428571 7:0.1 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.00316 
0 1:-1e-100 2:0.0707326 3:-3.96668e-102 4:0 5:0.307692 6:0 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.0926724 14:0 
1 1:1 2:0.183508 3:0.0263784 4:0.5 5:0.538462 6:0.428571 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.107759 14:0 
1 1:1 2:0.233129 3:0.107497 4:0 5:0.923077 6:0.428571 7:0.35 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.227371 14:0 
0 1:-1e-100 2:0.157885 3:0.0164617 4:0.5 5:0.153846 6:0.428571 7:0.0223333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:0.155172 14:0 
1 1:1 2:0.472212 3:0.0214201 4:0 5:0.384615 6:0.428571 7:0.0333333 8:1 9:1 10:0.130435 11:-1e-100 12:0.5 13:0.215517 14:0.01 
1 1:-1e-100 2:0.222483 3:0.343713 4:0.5 5:0.384615 6:0.428571 7:0.0943333 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.172414 14:0.0015 
0 1:1 2:0.112775 3:-3.96668e-102 4:0.5 5:0.0769231 6:0.428571 7:0.0333333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.155172 14:0 
0 1:1 2:0.321545 3:0.158667 4:0 5:0.153846 6:0.428571 7:0.00566667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.442888 14:0 
0 1:1 2:0.234572 3:0.178501 4:0 5:0.538462 6:0.571429 7:0.166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.215517 14:0.0121 
0 1:-1e-100 2:0.201552 3:0.0495835 4:0.5 5:0 6:0 7:-6.66667e-102 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.0862069 14:0 
0 1:-1e-100 2:0.333815 3:0.0595002 4:0.5 5:0.538462 6:0.428571 7:0.0166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.400862 14:0.00122 
0 1:1 2:0.0707326 3:0.176914 4:0.5 5:0.538462 6:0.428571 7:0.0166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.0862069 14:0 
1 1:-1e-100 2:0.433057 3:0.218167 4:0.5 5:0.769231 6:0.428571 7:0.00833333 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.24569 14:0 
1 1:1 2:0.160953 3:0.100754 4:0 5:0.538462 6:1 7:0.172333 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:-1e-100 2:0.0752436 3:0.404998 4:0.5 5:0 6:0 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.0005 
1 1:1 2:0.19253 3:0.48929 4:0.5 5:0.769231 6:1 7:0.105667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.12931 14:0 
1 1:-1e-100 2:0.216528 3:0.0198334 4:0.5 5:0.538462 6:1 7:0.0583333 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.529095 14:0 
0 1:1 2:0.224107 3:0.495835 4:0 5:0.230769 6:1 7:0.0833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:0.00017 
0 1:-1e-100 2:0.162396 3:0.244546 4:0.5 5:0.384615 6:0.428571 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.237069 14:0.01 
0 1:1 2:0.166907 3:0.0297501 4:0.5 5:0.461538 6:0.428571 7:0.0333333 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:0.344828 14:0 
0 1:1 2:0.215085 3:0.0115034 4:0 5:0.538462 6:0.428571 7:0.1 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.172414 14:0 
1 1:1 2:0.628474 3:0.00813169 4:0 5:0.230769 6:0.428571 7:0.0166667 8:1 9:1 10:0.478261 11:-1e-100 12:0.5 13:0.409483 14:0.02732 
0 1:1 2:0.133887 3:-3.96668e-102 4:0.5 5:0.538462 6:0.428571 7:0.0333333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:-1.07759e-103 14:0 
0 1:1 2:0.387947 3:0.654502 4:0 5:0.538462 6:0.428571 7:0.266667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.0862069 14:0 
1 1:-1e-100 2:0.165464 3:0.45954 4:0.5 5:0.923077 6:0.428571 7:0.00266667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.0862069 14:0.01349 
0 1:-1e-100 2:0.621075 3:0.0529552 4:0.5 5:0.153846 6:0.857143 7:0.0223333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.0012 
1 1:1 2:0.527788 3:0.0115034 4:0 5:0.923077 6:1 7:0.116667 8:1 9:1 10:0.347826 11:-1e-100 12:0.5 13:0.107759 14:0.00375 
1 1:1 2:0.321545 3:0.416501 4:0.5 5:1 6:0.428571 7:0.433333 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:1 2:0.124865 3:0.0164617 4:0.5 5:0.538462 6:0.428571 7:0.00833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.00044 
1 1:-1e-100 2:0.0916637 3:0.378421 4:0.5 5:0.384615 6:0.428571 7:0.00566667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.107759 14:0 
1 1:-1e-100 2:0.246662 3:0.575169 4:0.5 5:1 6:1 7:0.205667 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.12931 14:0.00011 
1 1:1 2:0.4917 3:0.00158667 4:0.5 5:0.692308 6:0.428571 7:0.00266667 8:-1e-100 9:1 10:0.0434783 11:-1e-100 12:0 13:0.603448 14:0 
