1 1:1.000000 2:17.500000 3:22.000000 4:3.000000 5:1.000000 6:7.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:3.000000 13:450.000000 14:100001.000000
0 1:1.000000 2:26.750000 3:2.000000 4:2.000000 5:2.000000 6:4.000000 7:0.750000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:80.000000 14:1.000000
1 1:1.000000 2:48.169998 3:3.500000 4:2.000000 5:6.000000 6:4.000000 7:3.500000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:230.000000 14:1.000000
0 1:1.000000 2:23.500000 3:2.750000 4:2.000000 5:1.000000 6:1.000000 7:4.500000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:160.000000 14:26.000000
1 1:0.000000 2:41.000000 3:2.040000 4:1.000000 5:11.000000 6:8.000000 7:0.125000 8:1.000000 9:1.000000 10:23.000000 11:1.000000 12:2.000000 13:455.000000 14:1237.000000
1 1:1.000000 2:35.169998 3:25.125000 4:2.000000 5:14.000000 6:8.000000 7:1.625000 8:1.000000 9:1.000000 10:1.000000 11:1.000000 12:2.000000 13:515.000000 14:501.000000
0 1:1.000000 2:23.750000 3:12.000000 4:2.000000 5:8.000000 6:4.000000 7:2.085000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:80.000000 14:1.000000
0 1:1.000000 2:18.670000 3:5.000000 4:2.000000 5:11.000000 6:4.000000 7:0.375000 8:1.000000 9:1.000000 10:2.000000 11:0.000000 12:2.000000 13:0.000000 14:39.000000
0 1:1.000000 2:30.330000 3:0.500000 4:2.000000 5:2.000000 6:8.000000 7:0.085000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:252.000000 14:1.000000
0 1:0.000000 2:19.750000 3:0.750000 4:2.000000 5:8.000000 6:4.000000 7:0.795000 8:1.000000 9:1.000000 10:5.000000 11:1.000000 12:2.000000 13:140.000000 14:6.000000
0 1:1.000000 2:26.170000 3:0.835000 4:2.000000 5:13.000000 6:4.000000 7:1.165000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:100.000000 14:1.000000
0 1:1.000000 2:28.750000 3:1.500000 4:1.000000 5:8.000000 6:4.000000 7:1.500000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:226.000000
1 1:1.000000 2:28.670000 3:9.335000 4:2.000000 5:11.000000 6:8.000000 7:5.665000 8:1.000000 9:1.000000 10:6.000000 11:0.000000 12:2.000000 13:381.000000 14:169.000000
1 1:1.000000 2:26.000000 3:1.000000 4:2.000000 5:11.000000 6:4.000000 7:1.750000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:280.000000 14:1.000000
0 1:1.000000 2:23.500000 3:3.165000 4:1.000000 5:4.000000 6:4.000000 7:0.415000 8:0.000000 9:1.000000 10:1.000000 11:1.000000 12:2.000000 13:280.000000 14:81.000000
0 1:1.000000 2:26.330000 3:13.000000 4:2.000000 5:10.000000 6:2.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:140.000000 14:1111.000000
1 1:1.000000 2:54.330002 3:6.750000 4:2.000000 5:8.000000 6:8.000000 7:2.625000 8:1.000000 9:1.000000 10:11.000000 11:1.000000 12:2.000000 13:0.000000 14:285.000000
0 1:1.000000 2:31.570000 3:0.375000 4:2.000000 5:2.000000 6:4.000000 7:0.875000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:928.000000 14:1.000000
0 1:0.000000 2:25.250000 3:12.500000 4:2.000000 5:2.000000 6:4.000000 7:1.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:180.000000 14:1063.000000
1 1:1.000000 2:33.169998 3:3.165000 4:1.000000 5:14.000000 6:4.000000 7:3.165000 8:1.000000 9:1.000000 10:3.000000 11:1.000000 12:2.000000 13:380.000000 14:1.000000
0 1:1.000000 2:39.500000 3:1.625000 4:2.000000 5:8.000000 6:4.000000 7:1.500000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:317.000000
0 1:0.000000 2:17.670000 3:0.000000 4:1.000000 5:5.000000 6:1.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:86.000000 14:1.000000
1 1:1.000000 2:23.920000 3:0.665000 4:2.000000 5:8.000000 6:4.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:100.000000 14:1.000000
1 1:1.000000 2:26.670000 3:2.710000 4:1.000000 5:13.000000 6:4.000000 7:5.250000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:211.000000 14:1.000000
0 1:0.000000 2:22.500000 3:0.415000 4:2.000000 5:3.000000 6:4.000000 7:0.335000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:144.000000 14:1.000000
1 1:1.000000 2:39.919998 3:0.540000 4:1.000000 5:6.000000 6:4.000000 7:0.500000 8:1.000000 9:1.000000 10:3.000000 11:0.000000 12:2.000000 13:200.000000 14:1001.000000
1 1:0.000000 2:26.080000 3:8.665000 4:2.000000 5:6.000000 6:4.000000 7:1.415000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:160.000000 14:151.000000
0 1:1.000000 2:20.000000 3:0.000000 4:2.000000 5:2.000000 6:4.000000 7:0.500000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:144.000000 14:1.000000
0 1:1.000000 2:31.570000 3:4.000000 4:1.000000 5:3.000000 6:4.000000 7:0.085000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:411.000000 14:1.000000
0 1:1.000000 2:26.750000 3:4.500000 4:1.000000 5:8.000000 6:5.000000 7:2.500000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:200.000000 14:1211.000000
0 1:0.000000 2:24.920000 3:1.250000 4:2.000000 5:1.000000 6:1.000000 7:0.000000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:80.000000 14:1.000000
0 1:0.000000 2:32.250000 3:1.500000 4:2.000000 5:8.000000 6:4.000000 7:0.250000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:372.000000 14:123.000000
0 1:1.000000 2:17.670000 3:4.460000 4:2.000000 5:8.000000 6:4.000000 7:0.250000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:80.000000 14:1.000000
1 1:0.000000 2:37.750000 3:5.500000 4:2.000000 5:11.000000 6:4.000000 7:0.125000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:228.000000 14:1.000000
1 1:1.000000 2:22.670000 3:2.540000 4:1.000000 5:8.000000 6:8.000000 7:2.585000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:0.000000 2:17.920000 3:10.210000 4:2.000000 5:1.000000 6:1.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:51.000000
1 1:1.000000 2:24.420000 3:12.335000 4:2.000000 5:11.000000 6:8.000000 7:1.585000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:120.000000 14:1.000000
1 1:0.000000 2:25.750000 3:0.500000 4:2.000000 5:8.000000 6:8.000000 7:0.875000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:491.000000 14:1.000000
0 1:1.000000 2:26.170000 3:12.500000 4:1.000000 5:4.000000 6:8.000000 7:1.250000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:18.000000
0 1:0.000000 2:22.750000 3:6.165000 4:2.000000 5:6.000000 6:4.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:220.000000 14:1001.000000
0 1:1.000000 2:23.000000 3:0.750000 4:2.000000 5:7.000000 6:4.000000 7:0.500000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:320.000000 14:1.000000
0 1:1.000000 2:25.670000 3:0.290000 4:1.000000 5:8.000000 6:4.000000 7:1.500000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:160.000000 14:1.000000
1 1:1.000000 2:48.580002 3:0.205000 4:1.000000 5:4.000000 6:4.000000 7:0.250000 8:1.000000 9:1.000000 10:11.000000 11:0.000000 12:2.000000 13:380.000000 14:2733.000000
0 1:1.000000 2:21.170000 3:0.000000 4:2.000000 5:8.000000 6:4.000000 7:0.500000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:0.000000 14:1.000000
0 1:1.000000 2:35.250000 3:16.500000 4:1.000000 5:8.000000 6:4.000000 7:4.000000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:80.000000 14:1.000000
1 1:0.000000 2:22.920000 3:11.585000 4:2.000000 5:13.000000 6:4.000000 7:0.040000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:80.000000 14:1350.000000
0 1:0.000000 2:48.169998 3:1.335000 4:2.000000 5:3.000000 6:7.000000 7:0.335000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:121.000000
1 1:1.000000 2:43.000000 3:0.290000 4:1.000000 5:13.000000 6:8.000000 7:1.750000 8:1.000000 9:1.000000 10:8.000000 11:0.000000 12:2.000000 13:100.000000 14:376.000000
1 1:1.000000 2:31.570000 3:10.500000 4:2.000000 5:14.000000 6:4.000000 7:6.500000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:1.000000 2:20.670000 3:0.415000 4:2.000000 5:8.000000 6:4.000000 7:0.125000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:45.000000
1 1:0.000000 2:18.830000 3:9.540000 4:2.000000 5:6.000000 6:4.000000 7:0.085000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:100.000000 14:1.000000
1 1:0.000000 2:27.420000 3:14.500000 4:2.000000 5:14.000000 6:8.000000 7:3.085000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:120.000000 14:12.000000
1 1:1.000000 2:41.000000 3:0.040000 4:2.000000 5:10.000000 6:4.000000 7:0.040000 8:0.000000 9:1.000000 10:1.000000 11:0.000000 12:1.000000 13:560.000000 14:1.000000
